Content,Video title,Video publish time,Impressions,Impressions click-through rate (%),Views,Average view duration,Watch time (hours)
SOZOHZKSqA4,ESPORT7 MEDIA TOURNAMENT - UPPER BRACKET FINAL - DETIKCOM YORU VS NTMC 2 - GAME 2,"Mar 1, 2023",4171,1.37,65,0:02:16,2.4661
 -uz2Yolt2V4,ESPORTS7 RAMADAN WAR ARENA | PLAYOFFS HARI 1,"Apr 29, 2022",563,9.06,62,0:04:13,4.3697
k8ro8mGqswg,[LIVE] FUN MATCH MOBILE LEGENDS - CNN.COM VS METRO TV | ESPORTS TRANS7,"Jan 17, 2023",147,25.85,61,0:01:40,1.711
intgEc-XtE8,ESPORT7 MEDIA TOURNAMENT - DETIKOM GOGO VS MOLA LEGENDS - GAME 3,"Feb 22, 2023",2491,1.93,59,0:01:44,1.7185
0Fzg-HMpnmo,[LIVE] FUN MATCH MOBILE LEGENDS - T7 ESPORT VS KINCIR | ESPORTS TRANS7,,94,21.28,58,0:09:14,8.9412
qH22kBsjmEQ,ESPORT7 MEDIA TOURNAMENT - LOWER BRACKET FINAL - NTMC 2 VS MOLA LEGENDS - GAME 3,"Mar 3, 2023",4139,1.23,55,0:02:18,2.1117
nfDZJl-QuNQ,[LIVE] FUN MATCH MOBILE LEGENDS - RTV VS T7 ESPORT | ESPORTS TRANS7,,156,25.64,54,0:03:39,3.2992
NMulo7WDqtY,ESPORT7 MEDIA TOURNAMENT - UPPER BRACKET SEMI FINAL - DETIKCOM YORU VS MOLA LEGENDS - GAME 1,"Feb 27, 2023",2047,1.91,51,0:01:53,1.6107
zXf1HONRzZ8,[LIVE] FUN MATCH MAGIC CHESS MOBILE LEGENDS | ESPORTS TRANS7,"Jan 10, 2023",1176,3.06,51,0:02:41,2.2858
XckYMdl74uk,ESPORT7 MEDIA TOURNAMENT - DETIKOM GOGO VS MOLA LEGENDS - GAME 2,"Feb 22, 2023",1809,1.93,45,0:01:29,1.1129
4qPDiFB9PIU,ESPORT7 MEDIA TOURNAMENT - LOWER BRACKET SEMI FINAL - INEWS TV VS MOLA LEGENDS - GAME 3,"Mar 2, 2023",2828,1.41,44,0:04:28,3.2808
U8d3lzE9TWU,ESPORT7 MEDIA TOURNAMENT - UPPER BRACKET SEMI FINAL - NTMC 2 VS INEWS TV - GAME 1,"Feb 28, 2023",3842,0.99,44,0:00:59,0.7323
dpdqav-Hk74,ESPORT7 MEDIA TOURNAMENT - UPPER BRACKET FINAL - DETIKCOM YORU VS NTMC 2 - GAME 1,"Mar 1, 2023",3515,0.91,39,0:02:05,1.3636
e091-w1_Vts,ESPORT7 RAMADAN CUP 2023 MOBILE LEGENDS - DETIKCOM YORU,"Apr 14, 2023",941,3.61,39,0:00:44,0.4828
 -YWjv85xaVI,[LIVE] FUN MATCH MOBILE LEGENDS - SENSEI COMPANY VS DETIK.COM | ESPORTS TRANS7,,201,8.96,38,0:00:56,0.5941
hnJ57eXLP0M,NGABUBURIT BARENG TRANS7 | MOBILE LEGENDS,"Apr 8, 2022",395,6.33,36,0:01:00,0.6062
__iEXrLhEvY,ESPORT7 MEDIA TOURNAMENT - UPPER BRACKET SEMI FINAL - NTMC 2 VS INEWS TV - GAME 2,"Feb 28, 2023",2514,1.19,35,0:01:09,0.6774
